"line","scenario","scenario_name","query","axes"
"16","01-low-power","低电模式","我每天出门前都要检查手机还有多少电和今天要办的事,老是忘。做个卡片,上面放电池图标做主视觉,下面纵向排列几个待办日程项,每项能勾选绑定。卡片读取天气预报显示今天天气,也要能点击进入具体的日程事件详情。简洁素净的卡片表面,整体氛围背景,不要渐变。电量低于20%时待办项显示橙色注意状态。","{""size"":""2x2"",""component"":""Image"",""binding"":""path"",""click"":""intent_calendar"",""data"":""weather"",""surface"":""plain"",""composition"":""ambient-root"",""status"":""warning"",""gradient"":""none"",""asset"":""icon"",""template"":""column""}"
"17","01-low-power","低电模式","做个低电相关卡片,整张用淡绿色主题色背景,左边放个大的电池图标当主视觉,右边显示""电量充足,放心出门""这种固定文字,旁边横着排几个小项显示今天天气、温度、湿度,数据从天气应用读。底部加个跳转到天气详情的入口。","{""size"":""2x4"",""component"":""Text"",""binding"":""literal"",""click"":""deeplink_weather"",""data"":""weather"",""surface"":""colored-root"",""composition"":""hero-left"",""status"":""none"",""gradient"":""action-fill"",""asset"":""icon"",""template"":""row""}"
"18","01-low-power","低电模式","想要个左右并排排列的低电卡片，左边""省电模式:关""右边""勿扰模式:关""每项右边一个小开关可以直接切。下方横向排三块小面板""电量24%""""温度正常""""已用7小时""每块用个小环形图，浅灰打底告警用红字，深蓝到紫黑渐变。","{""size"":""2x4"",""component"":""Row"",""binding"":""literal"",""click"":""intent_setting_switch"",""data"":""static"",""surface"":""tinted-surface"",""composition"":""meter-focus"",""status"":""alert"",""gradient"":""temporal-band"",""asset"":""icon"",""template"":""row""}"
"19","01-low-power","低电模式","主题色低电卡，上方大字""电量告急""，下面横排三个小色块用⚡🔋⚙字符图标分别对应省电/充电宝/设置入口，下方按钮直接开省电开关，右上角顺手显示一下天气。","{""size"":""2x4"",""component"":""Button"",""binding"":""literal"",""click"":""intent_setting_switch"",""data"":""weather"",""surface"":""colored-root"",""composition"":""hero-top"",""status"":""alert"",""gradient"":""action-fill"",""asset"":""glyph"",""template"":""row""}"
"20","01-low-power","低电模式","公司开会经常一开就2小时手机没地方充，做个深色风格低电卡片，背景叠一层大环形图中心写电量数字的叠加效果，电量低于10%用红色告警，里面嵌个小面板显示今天剩余日程，底部多个竖向排列的开关项可以一键开省电、关蓝牙、关定位。","{""size"":""2x4"",""component"":""Stack"",""binding"":""expression"",""click"":""intent_setting_switch"",""data"":""calendar"",""surface"":""dark-stage"",""composition"":""paper-panel"",""status"":""alert"",""gradient"":""action-fill"",""asset"":""icon"",""template"":""column""}"
"21","02-earphone-music","耳机音乐","帮我整个耳机卡主体是图点进app读日程吧","{""size"":""2x2"",""component"":""Image"",""binding"":""literal"",""click"":""deeplink_music"",""data"":""calendar"",""surface"":""dark-stage"",""composition"":""paper-panel"",""status"":""none"",""gradient"":""none"",""asset"":""icon"",""template"":""row""}"
"22","02-earphone-music","耳机音乐","帮我弄个耳机封面的卡片,图为主,数字会变,点一下跳app","{""size"":""2x4"",""component"":""Image"",""binding"":""expression"",""click"":""deeplink_music"",""data"":""static"",""surface"":""soft-material"",""composition"":""hero-left"",""status"":""none"",""gradient"":""temporal-band"",""asset"":""icon"",""template"":""row""}"
"23","02-earphone-music","耳机音乐","搞个耳机卡 点进app 能读天气 提醒我快没电了嘛","{""size"":""2x4"",""component"":""Divider"",""binding"":""literal"",""click"":""deeplink_music"",""data"":""weather"",""surface"":""image-derived"",""composition"":""hero-left"",""status"":""warning"",""gradient"":""none"",""asset"":""icon"",""template"":""row""}"
"24","02-earphone-music","耳机音乐","给我做个耳机卡吧，按钮要有，点进去能跳app，提醒我快没电了","{""size"":""2x2"",""component"":""Button"",""binding"":""path"",""click"":""deeplink_health"",""data"":""static"",""surface"":""colored-root"",""composition"":""split-action"",""status"":""warning"",""gradient"":""action-fill"",""asset"":""none"",""template"":""row""}"
"25","02-earphone-music","耳机音乐","弄个能点进app的卡片，能读天气那种","{""size"":""2x4"",""component"":""Row"",""binding"":""literal"",""click"":""deeplink_music"",""data"":""weather"",""surface"":""plain"",""composition"":""hero-left"",""status"":""none"",""gradient"":""action-fill"",""asset"":""icon"",""template"":""row""}"
"26","02-earphone-music","耳机音乐","帮我做个耳机卡,中间放张专辑图,点一下跳进音乐,读天气,显示已连接","{""size"":""2x2"",""component"":""Image"",""binding"":""literal"",""click"":""deeplink_music"",""data"":""weather"",""surface"":""soft-material"",""composition"":""split-action"",""status"":""confirm"",""gradient"":""action-fill"",""asset"":""none"",""template"":""none""}"
"27","02-earphone-music","耳机音乐","弄个耳机卡，主体是图，显示一行带数字的话，点一下能跳app","{""size"":""2x4"",""component"":""Image"",""binding"":""formatString"",""click"":""deeplink_music"",""data"":""static"",""surface"":""dark-stage"",""composition"":""split-action"",""status"":""none"",""gradient"":""ambient-band"",""asset"":""icon"",""template"":""row""}"
"28","02-earphone-music","耳机音乐","整一个耳机歌单卡,能勾选,显示一行带数字的话,点跳应用,从日历读日程","{""size"":""2x2"",""component"":""Checkbox"",""binding"":""formatString"",""click"":""deeplink_music"",""data"":""calendar"",""surface"":""tinted-surface"",""composition"":""split-action"",""status"":""none"",""gradient"":""ambient-band"",""asset"":""none"",""template"":""none""}"
"29","02-earphone-music","耳机音乐","整个图显示一行带数字的话，点一下能进app","{""size"":""2x4"",""component"":""Image"",""binding"":""formatString"",""click"":""deeplink_music"",""data"":""static"",""surface"":""tinted-surface"",""composition"":""split-action"",""status"":""none"",""gradient"":""ambient-band"",""asset"":""icon"",""template"":""column""}"
"30","02-earphone-music","耳机音乐","弄个耳机卡，点一下能进系统操作，看到红色那种危险提示","{""size"":""2x4"",""component"":""Divider"",""binding"":""literal"",""click"":""intent_setting_switch"",""data"":""static"",""surface"":""plain"",""composition"":""hero-left"",""status"":""alert"",""gradient"":""ambient-band"",""asset"":""icon"",""template"":""column""}"
"31","02-earphone-music","耳机音乐","做个简洁素净的卡片，能读实时天气情况，上面放一排我跑步歌单的封面，横向铺开排好几项。卡片中间嵌一块磨砂玻璃的面板，里面放个醒目的“一键播放”按钮点开能听歌，背景弄点那种晚上跑步的夜色渐变效果就行了，不用弄特殊状态颜色。","{""size"":""2x4"",""component"":""Button"",""binding"":""literal"",""click"":""deeplink_music"",""data"":""weather"",""surface"":""plain"",""composition"":""paper-panel"",""status"":""none"",""gradient"":""ambient-band"",""asset"":""icon"",""template"":""row""}"
"32","02-earphone-music","耳机音乐","帮我做个干净的耳机播控卡片，左边放个巨大的音乐音符的图标当主体。卡片整体特别素净，加一点适合睡眠音乐的深蓝色柔和渐变背景。右边横着排一排跳转导航、切歌、播报的图标。再放个静态导航地址“一键导航到健身房”。","{""size"":""2x4"",""component"":""Image"",""binding"":""literal"",""click"":""intent_navigate"",""data"":""static"",""surface"":""plain"",""composition"":""hero-left"",""status"":""none"",""gradient"":""ambient-band"",""asset"":""icon"",""template"":""row""}"
"33","02-earphone-music","耳机音乐","帮我做个简洁素净的耳机卡片，左边显示动态数据“左耳 15%”，右边是操作区并排横着放我的三个歌单入口，电量太低得用红色告警标出来提示我，背景来点适合听歌的深色渐变，点歌单能直接跳进音乐APP，整体分左右两块就行。","{""size"":""2x4"",""component"":""Row"",""binding"":""expression"",""click"":""deeplink_music"",""data"":""static"",""surface"":""plain"",""composition"":""split-action"",""status"":""alert"",""gradient"":""ambient-band"",""asset"":""icon"",""template"":""row""}"
"34","02-earphone-music","耳机音乐","整个深色舞台风格的纯文字色块音乐卡片，千万别给我加图片。左边排几项晚上的听书任务纵向排列，右边是信息区和动作区分开。搞个“距离睡眠还有2小时”和“剩余电量仅剩5%”这种文字加动态数值的拼接，用红色字体标出快没电的危险状态。放个按钮一键跳到我的夜间听书歌单，顺便关联一下我今晚的听书日历日程。","{""size"":""2x2"",""component"":""Button"",""binding"":""formatString"",""click"":""deeplink_music"",""data"":""calendar"",""surface"":""dark-stage"",""composition"":""split-action"",""status"":""alert"",""gradient"":""temporal-band"",""asset"":""none"",""template"":""column""}"
"35","02-earphone-music","耳机音乐","我想弄个特精致的磨砂卡片，左边是个大大的闹钟图标，后面叠着多层柔和的图层效果，最上面显示明天早上雷阵雨的天气。右边横向排开好几个耳机播控的小图标和按钮，最上面叠加上“距离闹钟响还有8小时”这几个字，底部还要跳转到系统时钟应用里。","{""size"":""2x4"",""component"":""Stack"",""binding"":""literal"",""click"":""deeplink_clock"",""data"":""weather"",""surface"":""soft-material"",""composition"":""hero-left"",""status"":""none"",""gradient"":""none"",""asset"":""icon"",""template"":""row""}"
"36","02-earphone-music","耳机音乐","我想做个听歌打卡卡片，左边右边底色稍微深浅区分一下，带个天气氛围渐变。左上角显示“已连续打卡15天”和今天日历里的“晚上8点英语课”。耳机连上要在左边给个绿色的已连接标志，右边分两列竖着排几个我常听的古典音乐名字，点这几个音乐名字能直接打开音乐软件的歌单。","{""size"":""2x2"",""component"":""Row"",""binding"":""formatString"",""click"":""deeplink_music"",""data"":""calendar"",""surface"":""split-surface"",""composition"":""split-action"",""status"":""confirm"",""gradient"":""ambient-band"",""asset"":""icon"",""template"":""column""}"
"37","02-earphone-music","耳机音乐","做个纯文字不用图片的音乐小组件，整张卡用我手机的主题色铺满。左边写耳机状态，右边横着重复排我最近几天日历里的日程安排，还要能读当天的天气数据。上面放个“播控定时关闭”的勾选项让我能直接选，点卡片最下面的空白处能跳转到天气APP看详情。","{""size"":""2x2"",""component"":""Text"",""binding"":""path"",""click"":""deeplink_weather"",""data"":""calendar"",""surface"":""colored-root"",""composition"":""hero-left"",""status"":""none"",""gradient"":""none"",""asset"":""none"",""template"":""row""}"
"38","02-earphone-music","耳机音乐","我正在跑步呢耳机突然没声了，帮我弄个运动风格的桌面卡片。中间搞个仪表盘样式的环形数据当焦点，实时显示步数和左耳机电量15%，这时候电量颜色得是那种刺眼的红色告警状态，还要配个黄绿渐变的紧迫感背景。下面横向排开四个按钮，放跳过、暂停这些控制图标。我得点其中一个带有日程图标的按钮，直接查看等会儿9点半的视频会议日程，卡片整体弄点磨砂玻璃质感。","{""size"":""2x2"",""component"":""Button"",""binding"":""expression"",""click"":""intent_calendar"",""data"":""calendar"",""surface"":""soft-material"",""composition"":""meter-focus"",""status"":""alert"",""gradient"":""action-fill"",""asset"":""icon"",""template"":""row""}"
"39","02-earphone-music","耳机音乐","给我弄个耳机音乐卡片，左边竖着排几个音乐和耳机的语义图标当主要视觉，右边分块写动作区，上面写“已听歌 120分钟”这种固定文字加动态数值的拼接，放个“进入专属歌单”的按钮能跳到音乐APP里。用静态示例数据就行，整体弄个磨砂玻璃质感，背景弄个助眠或者音乐那种温柔的渐变色，多排几个图标在左边。","{""size"":""2x2"",""component"":""Image"",""binding"":""formatString"",""click"":""deeplink_music"",""data"":""static"",""surface"":""soft-material"",""composition"":""split-action"",""status"":""none"",""gradient"":""ambient-band"",""asset"":""icon"",""template"":""column""}"
"40","02-earphone-music","耳机音乐","做个磨砂质感的音乐卡片，左边显示耳机连上的信息加上今天的大风天气数据，右边放两个并排的快捷入口图标，一个是跳转每日推荐歌单，一个是跳转摇滚歌单。除了这两个快捷功能，左右排满那种横向重复排列的静音和音量加号图标，不要渐变颜色，干净点就行。","{""size"":""2x4"",""component"":""Row"",""binding"":""literal"",""click"":""deeplink_music"",""data"":""weather"",""surface"":""soft-material"",""composition"":""split-action"",""status"":""none"",""gradient"":""none"",""asset"":""icon"",""template"":""row""}"
"41","03-anti-addiction","防沉迷","搞个能勾选的几项,数字会变,点了跳到应用,要有红色危险提示","{""size"":""2x4"",""component"":""Checkbox"",""binding"":""expression"",""click"":""deeplink_health"",""data"":""static"",""surface"":""tinted-surface"",""composition"":""paper-panel"",""status"":""alert"",""gradient"":""none"",""asset"":""none"",""template"":""none""}"
"42","03-anti-addiction","防沉迷","帮我弄个应用时长的卡片 数字会变 点一下能进系统设置 日历读日程","{""size"":""2x4"",""component"":""Row"",""binding"":""expression"",""click"":""intent_setting_switch"",""data"":""calendar"",""surface"":""dark-stage"",""composition"":""hero-top"",""status"":""none"",""gradient"":""temporal-band"",""asset"":""none"",""template"":""column""}"
"43","03-anti-addiction","防沉迷","整个防沉迷的吧,一行带数字的话,点进设置操作,提醒我快不行了","{""size"":""2x4"",""component"":""Column"",""binding"":""formatString"",""click"":""intent_setting_switch"",""data"":""static"",""surface"":""dark-stage"",""composition"":""meter-focus"",""status"":""warning"",""gradient"":""ambient-band"",""asset"":""none"",""template"":""column""}"
"44","03-anti-addiction","防沉迷","帮我弄个 几个能打勾的选项 一行字显示今天已用200分钟 点一下进设置 看下天气 快到了提醒下","{""size"":""2x2"",""component"":""Checkbox"",""binding"":""formatString"",""click"":""intent_setting_switch"",""data"":""weather"",""surface"":""plain"",""composition"":""meter-focus"",""status"":""warning"",""gradient"":""temporal-band"",""asset"":""icon"",""template"":""column""}"
"45","03-anti-addiction","防沉迷","帮我弄个防沉迷卡片，剩余时间会变，点开进app，红字警告","{""size"":""2x2"",""component"":""Column"",""binding"":""expression"",""click"":""deeplink_settings"",""data"":""static"",""surface"":""split-surface"",""composition"":""hero-left"",""status"":""alert"",""gradient"":""none"",""asset"":""icon"",""template"":""row""}"
"46","03-anti-addiction","防沉迷","搞个防沉迷卡片 上面有个按钮 中间一句话带数字 点一下能进去 还有红色那种危险提示","{""size"":""2x2"",""component"":""Button"",""binding"":""formatString"",""click"":""intent_setting_switch"",""data"":""static"",""surface"":""soft-material"",""composition"":""hero-top"",""status"":""alert"",""gradient"":""action-fill"",""asset"":""icon"",""template"":""row""}"
"47","03-anti-addiction","防沉迷","整个倒计时的,还剩15分钟能点进游戏,能看今天天气,快超时了提醒我","{""size"":""2x2"",""component"":""Row"",""binding"":""expression"",""click"":""deeplink_weather"",""data"":""weather"",""surface"":""plain"",""composition"":""split-action"",""status"":""warning"",""gradient"":""none"",""asset"":""glyph"",""template"":""column""}"
"48","03-anti-addiction","防沉迷","帮我整一个防沉迷卡片 上面列几个APP的使用时长 数字会动的那种 点一下能进APP 快超时了要提醒","{""size"":""2x4"",""component"":""List"",""binding"":""expression"",""click"":""deeplink_settings"",""data"":""static"",""surface"":""tinted-surface"",""composition"":""hero-top"",""status"":""warning"",""gradient"":""temporal-band"",""asset"":""icon"",""template"":""row""}"
"49","03-anti-addiction","防沉迷","给我整个使用时长卡片 数字会变 点跳应用 提醒快到时间了","{""size"":""2x2"",""component"":""Row"",""binding"":""expression"",""click"":""deeplink_health"",""data"":""static"",""surface"":""split-surface"",""composition"":""hero-left"",""status"":""warning"",""gradient"":""ambient-band"",""asset"":""icon"",""template"":""row""}"
"50","03-anti-addiction","防沉迷","主体是图的防沉迷卡，数字会变，点进系统操作，能读天气","{""size"":""2x4"",""component"":""Image"",""binding"":""expression"",""click"":""intent_calendar"",""data"":""weather"",""surface"":""split-surface"",""composition"":""paper-panel"",""status"":""none"",""gradient"":""temporal-band"",""asset"":""icon"",""template"":""list""}"
"51","03-anti-addiction","防沉迷","给我做个防沉迷卡片，背景素净点别太乱。左边放个环形仪表盘显示""今日已用42分""，中间塞几个可勾选的任务选项比如""完成作业才能玩""。如果时间快到了要让仪表盘变黄提示注意。顶部用太阳和云朵的天气图标，右上角点一下能跳系统设置改时长限制。","{""size"":""2x4"",""component"":""Checkbox"",""binding"":""expression"",""click"":""deeplink_settings"",""data"":""weather"",""surface"":""plain"",""composition"":""meter-focus"",""status"":""warning"",""gradient"":""none"",""asset"":""icon"",""template"":""row""}"
"52","03-anti-addiction","防沉迷","帮我小孩做个防沉迷卡片，背景是从图片延伸出来的深色宇宙风格，中间弄个仪表盘环形数据当焦点，上面摆个表示睡眠的月亮图标作为主视觉，下面横向并排排列几项他常玩的游戏（比如我的世界、蛋仔），写上固定文字加动态数值“距离周末解禁还有3天”，整体配上夜晚倒计时的渐变色，点进去能跳转系统设置里的应用时长管理。","{""size"":""2x4"",""component"":""Image"",""binding"":""formatString"",""click"":""deeplink_settings"",""data"":""static"",""surface"":""image-derived"",""composition"":""meter-focus"",""status"":""none"",""gradient"":""temporal-band"",""asset"":""icon"",""template"":""row""}"
"53","03-anti-addiction","防沉迷","给小孩做学习管控卡片，左右分两个不同底色区域，左边信息区纵向排列着好几个受限的娱乐应用，比如游戏和视频，右侧动作区上方有醒目的红色“超时违规”状态。前面放些勾选框，勾选状态要能双向绑定，选中的应用会被直接锁掉。读取下日历行程，要是周末就留个跳转系统设置的按钮，让我能手动给他加点玩耍时长，纵向多列几个任务项方便挨个勾选。","{""size"":""2x2"",""component"":""Checkbox"",""binding"":""path"",""click"":""deeplink_settings"",""data"":""calendar"",""surface"":""split-surface"",""composition"":""split-action"",""status"":""alert"",""gradient"":""none"",""asset"":""icon"",""template"":""column""}"
"54","03-anti-addiction","防沉迷","帮我做个带点紧迫感渐变的防沉迷卡片，上面放个大大的时钟图标作为主视觉。下面竖向排列好几个管控App，每项都显示“距离锁屏还有15分钟”这种字样，根据日历的作息安排来自动限制。时间快到了就变成黄色风险提示，点击还能直接跳到闹钟应用去设定时。","{""size"":""2x2"",""component"":""Image"",""binding"":""formatString"",""click"":""deeplink_clock"",""data"":""calendar"",""surface"":""split-surface"",""composition"":""hero-top"",""status"":""warning"",""gradient"":""action-fill"",""asset"":""icon"",""template"":""column""}"
"55","03-anti-addiction","防沉迷","做个儿童管控卡片，左边是信息区右边是动作区，背景按区域用稍微不同的底色分开，不要渐变。左边用纵向重复排列的方式列出“周一游戏1小时”、“周二视频2小时”这些选项，旁边加个警示的叹号语义图标。因为我家孩子今天游戏时间超限了，要在顶部显示红色的“已超时20分钟”告警状态。右边动作区放几个可以勾选的惩罚任务选项，比如“做家务解锁10分钟”，还要有个按钮能直接跳到系统设置里修改应用时长，数据你先随便填点静态的。","{""size"":""2x2"",""component"":""Checkbox"",""binding"":""formatString"",""click"":""deeplink_settings"",""data"":""static"",""surface"":""split-surface"",""composition"":""split-action"",""status"":""alert"",""gradient"":""none"",""asset"":""icon"",""template"":""column""}"
"56","03-anti-addiction","防沉迷","想做个应用时长监控卡片放桌面上，左右分两块，左边是信息区右边是动作区，左边列表横向重复排列几个常用软件比如微信、游戏，中间放个大的感叹号语义图标当视觉主体，显示今日已用4小时的动态数据，超过2小时就要标红提示处于风险状态，右边动作区搞些可勾选的任务选项，点进去能直接跳转系统设置的应用时长界面，背景用浅色调底色就行。","{""size"":""2x4"",""component"":""Image"",""binding"":""expression"",""click"":""deeplink_settings"",""data"":""static"",""surface"":""tinted-surface"",""composition"":""split-action"",""status"":""warning"",""gradient"":""none"",""asset"":""icon"",""template"":""row""}"
"57","03-anti-addiction","防沉迷","做个深色舞台风格的防沉迷卡片，左边放主视觉区域，右边横向排列好几项App的动态耗电和使用时长数据。因为我今天提前完成了控制时长的目标，所以卡片要显示绿色的正向达成状态。一定要用纯文字和色块，不要用图片，中间放个素材库里的“奖杯”语义图标，再放个切换“深色模式”的系统开关，顺便在旁边读取一下今天的天气数据，不用渐变。","{""size"":""2x4"",""component"":""Button"",""binding"":""expression"",""click"":""intent_setting_switch"",""data"":""weather"",""surface"":""dark-stage"",""composition"":""hero-left"",""status"":""confirm"",""gradient"":""none"",""asset"":""none"",""template"":""row""}"
"58","03-anti-addiction","防沉迷","帮我生成一个带有时间夜晚渐变和整体氛围背景的防管控卡片。背景用张暗黑系的风景照延伸出来，上面主要是写死的大字提示“今日游戏时长已用尽”，再横着排列几个锁屏、禁用、警告的静态操作项。如果接近晚上十一点就显示临近阈值风险，底部放一个明确的“去系统应用管理改限制”主动作按钮，用素材库的锁图标。","{""size"":""2x4"",""component"":""Button"",""binding"":""literal"",""click"":""deeplink_settings"",""data"":""static"",""surface"":""image-derived"",""composition"":""ambient-root"",""status"":""warning"",""gradient"":""temporal-band"",""asset"":""icon"",""template"":""row""}"
"59","03-anti-addiction","防沉迷","帮我做一个应用使用汇总卡片，背景用跟天气环境相关的渐变色。把今天的各个应用使用时长做个可以上下滚动的重复列表，不同应用用不同底色区块区分开，右上角显示读取的天气数据，底部放个勿扰模式的系统开关，列表里显示绿色的“已达成目标”正向状态，纯文字色块就行。","{""size"":""2x4"",""component"":""List"",""binding"":""literal"",""click"":""intent_setting_switch"",""data"":""weather"",""surface"":""split-surface"",""composition"":""ambient-root"",""status"":""confirm"",""gradient"":""ambient-band"",""asset"":""none"",""template"":""list""}"
"60","03-anti-addiction","防沉迷","做个日程防沉迷卡片，分区用不同底色，中间用文字“- - -”做分隔线分开。上面拼接写“距离睡觉还有2小时15分”，纵向列出学习、娱乐、运动三项静态日程安排，旁边用“★”这种文字字符当图标，列表各项依次显示黄色的待办风险状态，背景加点整体氛围感。","{""size"":""2x2"",""component"":""Divider"",""binding"":""formatString"",""click"":""intent_calendar"",""data"":""static"",""surface"":""split-surface"",""composition"":""ambient-root"",""status"":""warning"",""gradient"":""none"",""asset"":""glyph"",""template"":""column""}"
"61","04-focus","专注模式","给整个免打扰卡，有个按钮能开关，点一下跳到系统设置，顺便看看天气","{""size"":""2x4"",""component"":""Button"",""binding"":""path"",""click"":""deeplink_clock"",""data"":""weather"",""surface"":""image-derived"",""composition"":""paper-panel"",""status"":""none"",""gradient"":""temporal-band"",""asset"":""glyph"",""template"":""row""}"
"62","04-focus","专注模式","番茄钟卡片要能勾选任务嘛，点进去能设置，反正能从日历读日程，完成的标出来","{""size"":""2x4"",""component"":""Checkbox"",""binding"":""path"",""click"":""intent_setting_switch"",""data"":""calendar"",""surface"":""dark-stage"",""composition"":""meter-focus"",""status"":""confirm"",""gradient"":""temporal-band"",""asset"":""glyph"",""template"":""column""}"
"63","04-focus","专注模式","整个背景图上叠文字的卡,数字会变,点一下进入专注模式","{""size"":""2x2"",""component"":""Stack"",""binding"":""expression"",""click"":""intent_setting_switch"",""data"":""static"",""surface"":""soft-material"",""composition"":""hero-top"",""status"":""none"",""gradient"":""temporal-band"",""asset"":""glyph"",""template"":""column""}"
